Ytterbium	Yb	70	61	21	173.04	824	1466	6.9	1878	6.2542	2	2
Lutetium	Lu	71	64	21	174.967	1656	3315	9.84	1907	5.4259	2	2
Hafnium	Hf	72	22	15	178.49	2150	5400	13.31	1923	6.8251	4	2
Tantalum	Ta	73	25	15	180.9479	2996	5425	16.65	1802	7.5496	4	2
Tungsten	W	74	28	15	183.84	3410	5660	19.35	1783	7.864	4	2
Rhenium	Re	75	31	15	186.207	3180	5627	21.04	1925	7.8335	4	2
Osmium	Os	76	34	15	190.23	3045	5027	22.6	1803	8.4382	4	2
Iridium	Ir	77	37	15	192.217	2410	4527	22.4	1803	8.967	4	2
Platinum	Pt	78	40	15	195.078	1772	3827	21.45	1735	8.9587	4	2
Gold	Au	79	43	15	196.9665	1064	2807	19.32	0	9.2255	4	2
Mercury	Hg	80	46	15	200.59	-39	357	13.55	0	10.4375	4	1
Thallium	Tl	81	49	15	204.3833	303	1457	11.85	1861	6.1082	5	2
Lead	Pb	82	52	15	207.2	327	1740	11.35	0	7.4167	5	2
Bismuth	Bi	83	55	15	208.9804	271	1560	9.75	0	7.2856	5	2
Polonium	Po	84	58	15	209	254	962	9.3	1898	8.417	10	2
Astatine	At	85	61	15	210	302	337	0	1940	9.3	8	2
Radon	Rn	86	64	15	222	-71	-62	9.73	1900	10.7485	9	0
Francium	Fr	87	13	17	223	27	677	0	1939	4.0727	0	1
Radium	Ra	88	16	17	226	700	1737	5.5	1898	5.2784	1	2
Actinium	Ac	89	19	17	227	1050	3200	10.07	1899	5.17	4	2
Thorium	Th	90	25	23	232.0381	1750	4790	11.72	1829	6.3067	3	2
Protactinium	Pa	91	28	23	231.0359	1564	0	15.4	1913	5.89	3	2
Uranium	U	92	31	23	238.0289	1132	3818	18.95	1789	6.1941	3	2
Neptunium	Np	93	34	23	237	640	3902	20.2	1940	6.2657	3	3
Plutonium	Pu	94	37	23	244	640	3235	19.84	1940	6.0262	3	3
Americium	Am	95	40	23	243	994	2607	13.67	1944	5.9738	3	3
Curium	Cm	96	43	23	247	1340	0	13.5	1944	5.9915	3	3
Berkelium	Bk	97	46	23	247	986	0	14.78	1949	6.1979	3	3
Californium	Cf	98	49	23	251	900	0	15.1	1950	6.2817	3	3
Einsteinium	Es	99	52	23	252	860	0	0	1952	6.42	3	3
Fermium	Fm	100	55	23	257	1527	0	0	1952	6.5	3	3
Mendelevium	Md	101	58	23	258	0	0	0	1955	6.58	3	3
